gene_id	gene_name	length	Caco2_polyA-S2-24h-A	Caco2_polyA-S2-24h-B	RPKM_1	RPKM_2	Expr
ENSG00000000003.14	TSPAN6	4535	1012	830	22.54513703	23.91845281	23.23179492
ENSG00000000419.12	DPM1	1207	1619	1273	135.5155827	137.8330657	136.6743242
ENSG00000000457.14	SCYL3	6883	113	93	1.658633116	1.765783529	1.712208322
ENSG00000000460.17	C1orf112	5970	320	246	5.41533472	5.385091146	5.400212933
ENSG00000000938.13	FGR	3382	0	0	0	0	0
ENSG00000000971.15	CFH	8145	0	0	0	0	0
ENSG00000001036.13	FUCA2	2793	1482	1146	53.60766934	53.62236498	53.61501716
ENSG00000001084.12	GCLC	8646	695.5	459	8.127024356	6.937927173	7.532475764
ENSG00000001167.14	NFYA	3811	648	541	17.17851883	18.55199415	17.86525649
ENSG00000001460.18	STPG1	8511	30	33	0.356115045	0.506717183	0.431416114
ENSG00000001461.17	NIPAL3	9396	44	34	0.473106948	0.472898778	0.473002863
ENSG00000001497.16	LAS1L	5589	857	710	15.49160341	16.60185137	16.04672739
ENSG00000001561.7	ENPP4	4644	29	33	0.630892617	0.928654166	0.779773391
ENSG00000001617.12	SEMA3F	4826	44	35	0.921117465	0.947791936	0.934454701
ENSG00000001626.15	CFTR	9343	552	410	5.969011107	5.734952039	5.851981573
ENSG00000001629.10	ANKIB1	7389	1186	921	16.21618464	16.28944344	16.25281404
ENSG00000001630.17	CYP51A1	3529	1174.83	948.25	33.63357467	35.11587347	34.37472407
ENSG00000001631.15	KRIT1	6204	443	328	7.21409065	6.909304565	7.061697608
ENSG00000002016.17	RAD52	4190	223.5	205	5.389061784	6.393992471	5.891527127
ENSG00000002079.14	MYH16	6307	53	32	0.848990238	0.663070077	0.756030158
ENSG00000002330.13	BAD	1708	252	181	14.90604173	13.84914591	14.37759382
ENSG00000002549.12	LAP3	3785	1800	1490	48.04589407	51.44612481	49.74600944
ENSG00000002586.20	CD99	4858	1833	1445	38.12015103	38.87251314	38.49633209
ENSG00000002587.10	HS3ST1	7435	55	70	0.747362624	1.230408576	0.9888856
ENSG00000002726.20	AOC1	3824	0	0	0	0	0
ENSG00000002745.13	WNT16	3264	1	0	0.030952769	0	0.015476385
ENSG00000002746.15	HECW1	13935	1	1	0.007250078	0.009378326	0.008314202
ENSG00000002822.15	MAD1L1	7230	395.5	262.5	5.526597659	4.744858799	5.135728229
ENSG00000002834.18	LASP1	7061	2926	2058.5	41.86564326	38.09929525	39.98246925
ENSG00000002919.14	SNX11	3606	328	255	9.189624787	9.241590919	9.215607853
ENSG00000002933.9	TMEM176A	3477	3	1	0.087169835	0.037586128	0.062377981
ENSG00000003056.8	M6PR	3585	1763	1380	49.68357184	50.30628059	49.99492621
ENSG00000003096.14	KLHL13	6983	182	127	2.63317064	2.376807238	2.504988939
ENSG00000003137.8	CYP26B1	5015	10	4	0.201455311	0.104236864	0.152846087
ENSG00000003147.19	ICA1	4883	243	203	5.027698284	5.433023657	5.23036097
