gene_id	gene_name	length	SARSCOV2_1	SARSCOV2_2	SARSCOV2_3	RPKM_1	RPKM_2	RPKM_3	Expr
ENSCSAG00000015526	NFKBIA	4574	1467	1545	1600	55.46794113	56.49458475	53.46059972	55.14104187
ENSCSAG00000016944	TNFAIP3	12096	5911	6368	6708	84.51373076	88.05130032	84.75420992	85.77308033
ENSCSAG00000002795	PPP1R15A	4205	2655	2772	2754	109.1959718	110.2558707	100.0939757	106.5152727
ENSCSAG00000014681	ARRDC3	15030	1122	989	1316	12.9104675	11.00555145	13.38156514	12.43252803
ENSCSAG00000000149	JUN	1005	1846	1790	1928	317.6681891	297.8938015	293.1912275	302.9177394
ENSCSAG00000006272	NFKBIZ	11158	1542	1444	1650	23.90045171	21.64488753	22.59995587	22.71509837
ENSCSAG00000006776	IFIT2	7362	650	587	817	15.26952882	13.33572974	16.96040612	15.18855489
ENSCSAG00000013633	HSPA5	6722	12744	12716	13060	327.8803176	316.3927392	296.9304064	313.7344877
ENSCSAG00000009591	DUSP1	4670	4459	4873	4376	165.1310279	174.5235459	143.2090411	160.9545383
ENSCSAG00000001740	IL11	3637	1864	2076	1887	88.63611236	95.4681585	79.29368534	87.79931873
ENSCSAG00000014041	EEF1A1	2250	23966	25220	26762	1842.133622	1874.722801	1817.799804	1844.885409
ENSCSAG00000002364	TIMP2	31333	4286	4454	5031	23.65692431	23.77512075	24.53930975	23.9904516
ENSCSAG00000003779	KANSL1	142540	1994	2063	2271	2.419337694	2.420677708	2.434951884	2.424989095
ENSCSAG00000006774	IFIT3	8309	309	370	414	6.431582026	7.447790682	7.614854089	7.164742266
ENSCSAG00000008334	SQSTM1	16749	8304	8859	9387	85.74455491	88.46476261	85.65405722	86.62112491
ENSCSAG00000012060	TIPARP	33663	1415	1400	1793	7.269620088	6.955842118	8.140245004	7.455235737
ENSCSAG00000008605	ZC3HAV1	68758	1096	1257	1321	2.75673748	3.057641325	2.936226716	2.916868507
ENSCSAG00000013954	KLF6	5874	1149	1221	1282	33.82939094	34.76611954	33.35524131	33.98358393
ENSCSAG00000000760	ENO1	18646	8603	9216	9230	79.79438565	82.66682987	75.65297745	79.37139766
ENSCSAG00000011516	GADD45B	2307	1546	1601	1703	115.8964111	116.0695324	112.8176522	114.9278652
ENSCSAG00000012527	NPC2	14949	2179	2309	2362	25.20885851	25.83368075	24.14781029	25.06344985
ENSCSAG00000008173	ANXA1	18743	1162	1220	1383	10.72198302	10.88667412	11.27698698	10.96188137
ENSCSAG00000015764	IGFBP3	8926	23911	24943	25233	463.2857577	467.3758861	432.0380618	454.2332352
ENSCSAG00000004816	DDIT3	709	383	427	418	93.4244675	100.7293745	90.10316585	94.75233595
ENSCSAG00000008477	PSAP	34676	3148	3370	3659	15.70051224	16.25456696	16.12662247	16.02723389
ENSCSAG00000004308	SPP1	6022	6572	6544	7770	188.7404108	181.7510953	197.1924449	189.2279837
ENSCSAG00000014785	CSRNP1	14124	1498	1539	1535	18.34265497	18.22449103	16.60965741	17.72560114
ENSCSAG00000015614	IFIH1	55345	578	558	729	1.806165486	1.686282389	2.013071222	1.835173032
ENSCSAG00000009066	ADAMTS1	9609	3256	3352	3857	58.60225059	58.3445526	61.34532186	59.43070835
ENSCSAG00000013965	GPNMB	29171	3204	3332	3779	18.99543671	19.10416994	19.79865001	19.29941889
ENSCSAG00000007387	CTSL	5668	12543	13526	14294	382.7186914	399.1296937	385.4197276	389.0893709
ENSCSAG00000010905	BHLHE40	5649	4556	4615	4876	139.4826639	136.6389852	131.9174131	136.0130207
ENSCSAG00000007410	ARID5B	192025	1442	1491	1751	1.298720151	1.29865672	1.393600766	1.330325879
