ENSCSAT00000000006.1	ENSCSAG00000000006.1	cdna	protein_coding	ND1
ENSCSAT00000000010.1	ENSCSAG00000000010.1	cdna	protein_coding	MT-ND2
ENSCSAT00000000016.1	ENSCSAG00000000016.1	cdna	protein_coding	COX1
ENSCSAT00000000019.1	ENSCSAG00000000019.1	cdna	protein_coding	COX2
ENSCSAT00000000021.1	ENSCSAG00000000021.1	cdna	protein_coding	
ENSCSAT00000000022.1	ENSCSAG00000000022.1	cdna	protein_coding	ATP6
ENSCSAT00000000023.1	ENSCSAG00000000023.1	cdna	protein_coding	COX3
ENSCSAT00000000025.1	ENSCSAG00000000025.1	cdna	protein_coding	ND3
ENSCSAT00000000027.1	ENSCSAG00000000027.1	cdna	protein_coding	ND4L
ENSCSAT00000000028.1	ENSCSAG00000000028.1	cdna	protein_coding	MT-ND4
ENSCSAT00000000032.1	ENSCSAG00000000032.1	cdna	protein_coding	ND5
ENSCSAT00000000033.1	ENSCSAG00000000033.1	cdna	protein_coding	ND6
ENSCSAT00000000035.1	ENSCSAG00000000035.1	cdna	protein_coding	CYTB
ENSCSAT00000016506.1	ENSCSAG00000018407.1	cdna	protein_coding	BTNL3
ENSCSAT00000016507.1	ENSCSAG00000018406.1	cdna	protein_coding	
ENSCSAT00000016505.1	ENSCSAG00000018405.1	cdna	protein_coding	
ENSCSAT00000016504.1	ENSCSAG00000018404.1	cdna	protein_coding	
ENSCSAT00000016503.1	ENSCSAG00000018403.1	cdna	protein_coding	
ENSCSAT00000016501.1	ENSCSAG00000018401.1	cdna	protein_coding	
ENSCSAT00000016500.1	ENSCSAG00000018400.1	cdna	protein_coding	
ENSCSAT00000016499.1	ENSCSAG00000018399.1	cdna	protein_coding	
ENSCSAT00000016498.1	ENSCSAG00000018398.1	cdna	protein_coding	
ENSCSAT00000016496.1	ENSCSAG00000018397.1	cdna	protein_coding	
ENSCSAT00000016497.1	ENSCSAG00000018396.1	cdna	protein_coding	
ENSCSAT00000016494.1	ENSCSAG00000018395.1	cdna	protein_coding	
ENSCSAT00000016495.1	ENSCSAG00000018394.1	cdna	protein_coding	BTNL9
ENSCSAT00000016493.1	ENSCSAG00000018392.1	cdna	protein_coding	
ENSCSAT00000016491.1	ENSCSAG00000018391.1	cdna	protein_coding	
ENSCSAT00000016490.1	ENSCSAG00000018390.1	cdna	protein_coding	
ENSCSAT00000016489.1	ENSCSAG00000018389.1	cdna	protein_coding	
ENSCSAT00000016488.1	ENSCSAG00000018388.1	cdna	protein_coding	PRKAB2
