gene_id	gene_name	length	Calu3_polyA_series1-S2-24h-A	Calu3_polyA_series1-S2-24h-B	RPKM_1	RPKM_2	Expr
ENSG00000000003.14	TSPAN6	4535	310	468	15.33777206	16.72020097	16.02898651
ENSG00000000419.12	DPM1	1207	414	570	76.96104353	76.51393136	76.73748745
ENSG00000000457.14	SCYL3	6883	86	111	2.803487077	2.612872035	2.708179556
ENSG00000000460.17	C1orf112	5970	198	276	7.441641359	7.490446085	7.466043722
ENSG00000000938.13	FGR	3382	0	1	0	0.047907039	0.023953519
ENSG00000000971.15	CFH	8145	398	565	10.96402104	11.23906779	11.10154441
ENSG00000001036.13	FUCA2	2793	182	269	14.62104215	15.60465875	15.11285045
ENSG00000001084.12	GCLC	8646	231	299	5.99479899	5.603106645	5.798952817
ENSG00000001167.14	NFYA	3811	182	239	10.71544758	10.16089313	10.43817035
ENSG00000001460.18	STPG1	8511	38	32	1.001799667	0.609175347	0.805487507
ENSG00000001461.17	NIPAL3	9396	93	138	2.220842793	2.379627667	2.30023523
ENSG00000001497.16	LAS1L	5589	277	387	11.12048007	11.21888734	11.16968371
ENSG00000001561.7	ENPP4	4644	235	339	11.35412126	11.82715854	11.5906399
ENSG00000001617.12	SEMA3F	4826	10	22	0.4649332	0.738598285	0.601765742
ENSG00000001626.15	CFTR	9343	774	1118	18.5879925	19.38779353	18.98789302
ENSG00000001629.10	ANKIB1	7389	502	642	15.24389425	14.07739488	14.66064456
ENSG00000001630.17	CYP51A1	3529	130	183.17	8.265508383	8.409605408	8.337556896
ENSG00000001631.15	KRIT1	6204	61	77.5	2.206154496	2.023964286	2.115059391
ENSG00000002016.17	RAD52	4190	53.5	64	2.864953885	2.47479302	2.669873452
ENSG00000002079.14	MYH16	6307	7	10	0.249030813	0.256891716	0.252961265
ENSG00000002330.13	BAD	1708	116	151	15.23870282	14.32392414	14.78131348
ENSG00000002549.12	LAP3	3785	1924	2666	114.0557174	114.1214268	114.0885721
ENSG00000002586.20	CD99	4858	201	274	9.283600082	9.138312045	9.210956064
ENSG00000002587.10	HS3ST1	7435	746	961	22.51312234	20.94186455	21.72749344
ENSG00000002726.20	AOC1	3824	0	0	0	0	0
ENSG00000002745.13	WNT16	3264	3	2	0.206228642	0.099277945	0.152753293
ENSG00000002746.15	HECW1	13935	0	1	0	0.011626954	0.005813477
ENSG00000002822.15	MAD1L1	7230	126.5	192.5	3.925817485	4.313853259	4.119835372
ENSG00000002834.18	LASP1	7061	2297	3385	72.99156249	77.67216183	75.33186216
ENSG00000002919.14	SNX11	3606	177	240	11.01350164	10.78346792	10.89848478
